Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-21,103460.844587,1.0,3172.574695652174,805,0.45569620253164556,73.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-22,19694.301887,1.0,5072.932685185185,108,0.3333333333333333,73.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-23,-76194.26162399999,0.305870236869207,3278.057968960864,1482,0.5469728601252609,70.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-24,-5527.285214,0.08163265306122448,3502.3662962962962,81,1.025,73.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-25,-1059.724367,0.0,5163.3108571428575,35,10.666666666666666,73.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-26,3103.720794,0.9798994974874372,4189.758931750742,337,0.8021390374331551,79.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-27,0.0,0.0,0.06,1,0.0,74.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-10,0.0,0.0,2999.81,2,inf,50.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-11,65.42769200000001,1.0,1165.4522222222222,9,3.5,69.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-13,0.0,0.0,1488.3963636363637,11,inf,61.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-14,5103.198502,1.0,1344.250895522388,67,0.5952380952380952,63.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-15,66.63180299999999,1.0,908.50375,8,1.6666666666666667,70.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-16,0.0,0.0,1587.855,2,inf,75.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-17,77.26888,1.0,1463.1599999999999,7,1.3333333333333333,75.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-18,0.0,0.0,2035.5961538461538,13,inf,77.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-19,512.9694489999999,0.9230769230769231,983.9131034482758,29,0.11538461538461539,77.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-20,-4968.452873,0.38823529411764707,791.7238219895288,191,1.2470588235294118,76.0,Extreme Greed
